parameter,value
rho,0.0780088270891827
alpha,1.4503198602263112
beta[1],0.8638560633278255
beta[2],1.3363248097711093
beta[3],1.1781677399321366
beta[4],1.1962191612209634
beta[5],1.3826849932410892
beta[6],0.863079547859685
beta[7],1.3541801814477261
beta[8],1.3923656317668043
beta[9],1.3081275414781477
beta[10],0.8158288127273713
gamma[1],0.09533845204373291
gamma[2],0.11248477248267927
gamma[3],0.1304927631412371
gamma[4],0.08967933889522962
gamma[5],0.09032562215199308
gamma[6],0.12258375357666763
gamma[7],0.08030405697326513
gamma[8],0.0849656737452683
gamma[9],0.09377954532725828
gamma[10],0.11529414715459221
