region,timepoint,mean,sd,se,n
r1,0.25,0.5016930307633657,0.03354276712445049,0.019365925628666424,3.0
r1,0.75,0.5017421474688725,0.04563586845278936,0.026347880935920286,3.0
r1,1.5,0.5191503520613775,0.038459821048676714,0.022204788035438336,3.0
r1,2.5,0.6188058193051075,0.004685639090951666,0.0027052549904863776,3.0
r1,4.0,0.725040499618219,0.02363958006804997,0.013648317915818362,3.0
r1,6.0,0.6766177729195185,0.02458891572864125,0.01419641711501205,3.0
r1,8.0,0.5356950605688562,0.032422130687155735,0.01871892587993059,3.0
r1,10.0,0.46810821748930587,0.015893196079738166,0.009175941034920336,3.0
r2,0.25,0.03830189970123995,0.035689034068754,0.020605073426712847,3.0
r2,0.75,0.032409966201288894,0.036950204912880265,0.021333210753063256,3.0
r2,1.5,0.18689453149543292,0.012490198670203638,0.007211219564473977,3.0
r2,2.5,0.6348998749245195,0.03044571820714593,0.017577843602567193,3.0
r2,4.0,1.091469115428113,0.006896870409885701,0.003981909987713474,3.0
r2,6.0,0.934929252121029,0.05132692622542092,0.02963361467292283,3.0
r2,8.0,0.7752145020093627,0.019533525331591528,0.011277686108416743,3.0
r2,10.0,0.6476036830028661,0.040626811988014655,0.023455900837596577,3.0
r3,0.25,0.0,0.0,0.0,3.0
r3,0.75,0.03349881137285193,0.006824899079429465,0.003940357320700631,3.0
r3,1.5,0.17703411225856047,0.010996326134325114,0.006348731853749522,3.0
r3,2.5,0.5314663987779135,0.0212426220254129,0.012264433544665611,3.0
r3,4.0,0.960199579314377,0.026092168138649285,0.015064320298590143,3.0
r3,6.0,0.8013317970795536,0.011346852565876777,0.006551108383363953,3.0
r3,8.0,0.6487715536643389,0.03634367064420914,0.020983028029773247,3.0
r3,10.0,0.512116550646772,0.029244081847310907,0.016884078526748402,3.0
r4,0.25,0.014247710754780325,0.013998930557858094,0.008082286325946248,3.0
r4,0.75,0.029263763733498913,0.02387057522406594,0.013781683031325683,3.0
r4,1.5,0.12687294131370214,0.005136455726112761,0.002965534096151797,3.0
r4,2.5,0.5278987633605646,0.03714135874253931,0.021443573468073532,3.0
r4,4.0,1.0401415508338117,0.009459292296815447,0.005461324953909752,3.0
r4,6.0,0.9252873832822693,0.0059751402366906734,0.0034497488240991248,3.0
r4,8.0,0.7802776715954867,0.04706084267258758,0.027170590185309068,3.0
r4,10.0,0.6581115615887706,0.027077495755529316,0.0156331994634358,3.0
r5,0.25,0.00876018140332624,0.015173079274081073,0.00876018140332624,3.0
r5,0.75,0.06446568705041823,0.022452230498123775,0.012962801321999288,3.0
r5,1.5,0.2585047456674055,0.021813729658170328,0.012594162690174363,3.0
r5,2.5,0.7564867475619268,0.01657130731085559,0.00956744873674649,3.0
r5,4.0,1.1391444242086959,0.03342324106962498,0.019296917228737737,3.0
r5,6.0,1.0181649200868619,0.04724042902370029,0.027274274413466776,3.0
r5,8.0,0.8597651798866118,0.023460098909750732,0.013544694420759831,3.0
r5,10.0,0.7274727336844053,0.03829338142004317,0.022108694071042937,3.0
r6,0.25,0.015408056510881098,0.013347345876000716,0.007706093734476055,3.0
r6,0.75,0.016418352491579396,0.014781372114288286,0.008534029169176371,3.0
r6,1.5,0.09127610585007008,0.014098605337675896,0.008139833586905473,3.0
r6,2.5,0.34735216675208563,0.02917440164397104,0.016843848642592942,3.0
r6,4.0,0.7492496074119589,0.012039693953520808,0.006951120545025949,3.0
r6,6.0,0.6863001508717398,0.07660614899091416,0.04422858074148487,3.0
r6,8.0,0.5377183972946434,0.04196926147999775,0.024230964413166495,3.0
r6,10.0,0.4667516500683546,0.010064063363048674,0.005810489691797603,3.0
r7,0.25,0.0,0.0,0.0,3.0
r7,0.75,0.05587570756786344,0.01766979345185169,0.01020166000595166,3.0
r7,1.5,0.18897258377771975,0.018391995341714065,0.01061862346147296,3.0
r7,2.5,0.7049026701913621,0.067566100350199,0.03900930622528066,3.0
r7,4.0,1.1495922556776372,0.03932138214735357,0.022702210567682728,3.0
r7,6.0,1.0139914221757091,0.018839620541683887,0.010877059991171596,3.0
r7,8.0,0.8342754700548166,0.035031588162559066,0.020225496855793584,3.0
r7,10.0,0.6960168555825232,0.02790637286307878,0.016111751884604602,3.0
r8,0.25,0.00377009880867169,0.00592441480670599,0.003420462483442708,3.0
r8,0.75,0.013160252562110482,0.014763058735495643,0.008523455935000666,3.0
r8,1.5,0.11843116813345239,0.022369361054554112,0.012914956626446749,3.0
r8,2.5,0.5797570626874092,0.03188249384938995,0.018407366406381877,3.0
r8,4.0,1.1351725592381738,0.020671313844164308,0.011934588612431503,3.0
r8,6.0,1.0832978683992913,0.019194206706788963,0.011081780409045928,3.0
r8,8.0,0.8487789839497714,0.005076266181899808,0.0029307836465980483,3.0
r8,10.0,0.7277849970385967,0.018525827632935594,0.010695891570835973,3.0
r9,0.25,0.010929365863294625,0.018930216969735174,0.010929365863294625,3.0
r9,0.75,0.07822779106052091,0.014564197477543818,0.008408643334190792,3.0
r9,1.5,0.14673493866465978,0.02125402795568383,0.012271018761577891,3.0
r9,2.5,0.6619278895663699,0.022530250027831315,0.013007845918477983,3.0
r9,4.0,1.0605262120343886,0.05969255764179821,0.034463514223109455,3.0
r9,6.0,0.9613917602967805,0.034577869505705,0.019963542267122537,3.0
r9,8.0,0.8183114716470881,0.036959125473332424,0.021338361041041632,3.0
r9,10.0,0.6540848270109537,0.00981134065237802,0.005664580166761569,3.0
r10,0.25,0.01009828543940334,0.012176380323041356,0.00703003645726319,3.0
r10,0.75,0.06401518971786431,0.030310659019980712,0.017499867144500823,3.0
r10,1.5,0.11847428262506593,0.02454151094164794,0.014169047948480585,3.0
r10,2.5,0.3887877701200524,0.04664521910725628,0.02693062980798349,3.0
r10,4.0,0.698696506091967,0.04528339523812462,0.026144380430551468,3.0
r10,6.0,0.6448332669674026,0.023235129764393538,0.013414808424128497,3.0
r10,8.0,0.5977610499861367,0.020208622330624582,0.011667453542537586,3.0
r10,10.0,0.44394039898825216,0.015908366803932775,0.009184699856617894,3.0
