dataset,label,parameter,pass_fraction,max_rhat
syn_app,Syn APP,alpha,0.9660194174757282,3.269047848708847
syn_app,Syn APP,beta,0.9781553398058253,2.907568837494513
syn_app,Syn APP,gamma,0.9733009708737864,2.2201714744134446
syn_mapt,Syn MAPT,alpha,0.9101941747572816,3.047292334829867
syn_mapt,Syn MAPT,beta,0.9296116504854369,3.4182464145803646
syn_mapt,Syn MAPT,gamma,0.9199029126213593,2.89721700085371
tau_app,Tau APP,alpha,0.9975728155339806,1.0531770967389074
tau_app,Tau APP,beta,0.9975728155339806,1.065058645294608
tau_app,Tau APP,gamma,0.9975728155339806,1.0637248197043525
tau_mapt,Tau MAPT,alpha,0.9830097087378641,1.1676537164193517
tau_mapt,Tau MAPT,beta,0.9805825242718447,1.1117707382188535
tau_mapt,Tau MAPT,gamma,0.9854368932038835,1.0950739702798675
