dataset,label,parameter,pass_fraction,max_rhat
syn_app,Syn APP,alpha,0.9660194174757282,2.4401577815343045
syn_app,Syn APP,beta,0.9805825242718447,2.644219925368228
syn_app,Syn APP,gamma,0.9757281553398058,2.2965653371977335
syn_mapt,Syn MAPT,alpha,0.9271844660194175,3.2019361859433824
syn_mapt,Syn MAPT,beta,0.9344660194174758,2.90614227711068
syn_mapt,Syn MAPT,gamma,0.9296116504854369,2.402928873929651
tau_app,Tau APP,alpha,1.0,1.046482378076168
tau_app,Tau APP,beta,1.0,1.0487842200961217
tau_app,Tau APP,gamma,1.0,1.04931851816395
tau_mapt,Tau MAPT,alpha,0.9902912621359223,1.168742561169453
tau_mapt,Tau MAPT,beta,0.9878640776699029,1.09524103710343
tau_mapt,Tau MAPT,gamma,0.9854368932038835,1.1166297214492311
