dataset,label,parameter,pass_fraction,max_rhat
syn_app,Syn APP,alpha,0.9684466019417476,1.0473890059258817
syn_app,Syn APP,beta,0.9684466019417476,1.0459071454713949
syn_app,Syn APP,gamma,0.9684466019417476,1.0475354017926457
syn_mapt,Syn MAPT,alpha,0.9320388349514563,1.0493740114127126
syn_mapt,Syn MAPT,beta,0.9320388349514563,1.03996093015268
syn_mapt,Syn MAPT,gamma,0.9320388349514563,1.035731822897038
tau_app,Tau APP,alpha,1.0,1.046482378076168
tau_app,Tau APP,beta,1.0,1.0487842200961217
tau_app,Tau APP,gamma,1.0,1.04931851816395
tau_mapt,Tau MAPT,alpha,0.9878640776699029,1.0431023371437949
tau_mapt,Tau MAPT,beta,0.9878640776699029,1.042214432796707
tau_mapt,Tau MAPT,gamma,0.9878640776699029,1.049307474798478
