parameter,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,run_id,region_index,region,rank
alpha,0.6379952912206579,0.5528264917222323,0.016872891951199367,791.9820713682398,940.6128884519024,1.007856674420052,8.706448319334246,copath_syn_app_REGION-RF_rank304_region1_iFRP,1,iFRP,304
beta,-0.31985635717653627,0.7670615294720333,0.02556831537210197,862.6255372822609,1136.6342166578172,1.002519705908475,9.483048835071301,copath_syn_app_REGION-RF_rank304_region1_iFRP,1,iFRP,304
gamma,0.07732227253006102,0.060211024353676285,0.0019112442127448934,759.85821993636,732.0871129042271,1.0048510299299416,8.353303137870169,copath_syn_app_REGION-RF_rank304_region1_iFRP,1,iFRP,304
sigma,0.034572344212967544,0.006391674561322384,0.0002269175536807443,720.5189762630606,509.1747468498371,1.0079340109069417,7.920837423877981,copath_syn_app_REGION-RF_rank304_region1_iFRP,1,iFRP,304
u0,0.007112501962312908,0.005221774229202156,0.00019940787279959212,431.4020941295814,320.11015779274715,1.0104296929063261,4.742506393993089,copath_syn_app_REGION-RF_rank304_region1_iFRP,1,iFRP,304
alpha,0.22895906940124788,0.2639374277698489,0.024637379363102733,184.72809074009794,106.52312617276161,1.0288825235561077,1.455411390506976,copath_syn_app_REGION-RF_rank257_region2_iMOp,2,iMOp,257
beta,0.11133051642817679,0.5019285493620892,0.019184126879682004,702.5372554260576,887.8856242420055,1.007287679935974,5.535058147930334,copath_syn_app_REGION-RF_rank257_region2_iMOp,2,iMOp,257
gamma,0.08332140263840415,0.06278790010751512,0.002764535399564838,444.0490858220459,316.18539175205626,1.0084250960352235,3.4985155471502534,copath_syn_app_REGION-RF_rank257_region2_iMOp,2,iMOp,257
sigma,0.01720166261791411,0.0034855850336329977,0.00021633114720790887,248.68845306999202,211.44653695124552,1.0106420759482753,1.95933388276535,copath_syn_app_REGION-RF_rank257_region2_iMOp,2,iMOp,257
u0,0.026056717473444947,0.006067196550335029,0.00032820167067510006,341.9732023084914,308.4562334483049,1.0123411321941762,2.6942934985896505,copath_syn_app_REGION-RF_rank257_region2_iMOp,2,iMOp,257
