parameter,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,run_id,region_index,region,rank
alpha,2.4035648348790257,0.31732749963259665,0.0100347766304525,NaN,NaN,NaN,NaN,copath_syn_mapt_REGION-RF_rank305_region1_iFRP,1,iFRP,305
beta,-1.5293163446078857,0.2104300764953606,0.00665438329928802,NaN,NaN,NaN,NaN,copath_syn_mapt_REGION-RF_rank305_region1_iFRP,1,iFRP,305
gamma,0.06213109511502754,0.043259772572068575,0.0013679941238861726,NaN,NaN,NaN,NaN,copath_syn_mapt_REGION-RF_rank305_region1_iFRP,1,iFRP,305
u0,0.0031664238941161104,0.0002746600240074069,8.685512580599335e-6,NaN,NaN,NaN,NaN,copath_syn_mapt_REGION-RF_rank305_region1_iFRP,1,iFRP,305
sigma,1.1744538547301643e-7,3.756178623689246e-8,1.1878079749294512e-9,NaN,NaN,NaN,NaN,copath_syn_mapt_REGION-RF_rank305_region1_iFRP,1,iFRP,305
alpha,0.2607161022854896,0.3615519046806281,0.05041056340642058,99.02686427854495,61.790605569501,1.026423305678936,0.7282243813871113,copath_syn_mapt_REGION-RF_rank256_region2_iMOp,2,iMOp,256
beta,0.09160790342984296,0.5231196518024988,0.015841749053100627,951.3637362636146,1062.6453630067192,1.0175054129004506,6.996144666016697,copath_syn_mapt_REGION-RF_rank256_region2_iMOp,2,iMOp,256
gamma,0.07643981748089278,0.05891787370001868,0.0031605447166237507,308.9811455612472,644.5223470250693,1.0126124092373598,2.272187504127303,copath_syn_mapt_REGION-RF_rank256_region2_iMOp,2,iMOp,256
sigma,0.009202402597134405,0.0016619917647661526,0.00011055267497397151,223.33147236768565,822.4364145592674,1.02616044333973,1.6423363952206556,copath_syn_mapt_REGION-RF_rank256_region2_iMOp,2,iMOp,256
u0,0.016949625226353546,0.0035185159161153314,0.00025345308073129453,191.19725262518008,265.4827550304084,1.022817053603015,1.4060275666635786,copath_syn_mapt_REGION-RF_rank256_region2_iMOp,2,iMOp,256
alpha,0.33136325135357086,0.3563948350363752,0.02921681145016577,261.83529769146554,269.9558577673603,1.0249782348186915,1.98771168926238,copath_syn_mapt_REGION-RF_rank212_region3_iMOs,3,iMOs,212
beta,0.10549567884716163,0.4696777438725402,0.017396685212762893,675.3695175252853,854.5286285036091,1.0120259686586976,5.12703938847226,copath_syn_mapt_REGION-RF_rank212_region3_iMOs,3,iMOs,212
gamma,0.08125862459005348,0.06039843613510372,0.002199415349331517,550.6613075194592,249.09181800965848,1.010163082108188,4.180322238565057,copath_syn_mapt_REGION-RF_rank212_region3_iMOs,3,iMOs,212
sigma,0.019487759443410805,0.0037819099825117603,0.00016293419027243572,521.192845934288,1056.8174799846686,1.006821634837053,3.956613647424507,copath_syn_mapt_REGION-RF_rank212_region3_iMOs,3,iMOs,212
u0,0.01835130324805955,0.00566076947367498,0.0003038037481281364,350.5252073075985,197.89347300402935,1.0125740939471959,2.66099742123937,copath_syn_mapt_REGION-RF_rank212_region3_iMOs,3,iMOs,212
alpha,0.7808988373935313,0.619525117129311,0.01261475771123284,1566.854287913169,1068.627656749371,1.0026605657302854,22.968004337694325,copath_syn_mapt_REGION-RF_rank1_region4_iSSp-n,4,iSSp-n,359
beta,0.002318046716242489,0.9818698023314762,0.018321785151259352,2875.012583379847,2265.119951390074,0.9999508823590053,42.14386876647045,copath_syn_mapt_REGION-RF_rank1_region4_iSSp-n,4,iSSp-n,359
gamma,0.07711255031800487,0.06086102106520476,0.0012649463506229264,1273.0468886309966,603.9465568279297,1.0018265822701145,18.66117780429201,copath_syn_mapt_REGION-RF_rank1_region4_iSSp-n,4,iSSp-n,359
sigma,1.7084755907851554,2.2875037393786344,0.048845180052514744,2472.7346876457136,2391.10344097146,1.002124510732321,36.247008716716955,copath_syn_mapt_REGION-RF_rank1_region4_iSSp-n,4,iSSp-n,359
u0,0.008085559082645279,0.006034879385905118,0.00012092025284533843,1524.9914541230135,991.501182205896,1.0026794779672863,22.354350754526063,copath_syn_mapt_REGION-RF_rank1_region4_iSSp-n,4,iSSp-n,359
alpha,0.45231671900890896,0.5283040936588673,0.09128342251097651,67.6638275269488,20.423427481264635,1.048167672834762,0.5413495973866022,copath_syn_mapt_REGION-RF_rank224_region5_iSSp-bfd,5,iSSp-bfd,224
beta,0.2510757627121899,0.5586851423022322,0.02264635252876467,574.3580436740693,743.9039186955575,1.0087043052872813,4.595195203447203,copath_syn_mapt_REGION-RF_rank224_region5_iSSp-bfd,5,iSSp-bfd,224
gamma,0.0877103356655142,0.06601573014878566,0.007027535921345151,113.52521778890835,105.990767149574,1.0264157307288864,0.9082671375451701,copath_syn_mapt_REGION-RF_rank224_region5_iSSp-bfd,5,iSSp-bfd,224
sigma,0.024319408058251935,0.004540462702030487,0.00037787762846699545,120.53763138267334,39.372948658930966,1.0300648972866886,0.9643704857363598,copath_syn_mapt_REGION-RF_rank224_region5_iSSp-bfd,5,iSSp-bfd,224
u0,0.014387610954112375,0.005996412001306379,0.0004598335071428047,147.17083236944802,46.05756351056986,1.0396922133546975,1.1774514354589372,copath_syn_mapt_REGION-RF_rank224_region5_iSSp-bfd,5,iSSp-bfd,224
alpha,0.8028091277239855,0.6144317606116583,0.011643756667800131,1666.3448356647452,867.0260661348266,1.0005516984867786,24.03289540303371,copath_syn_mapt_REGION-RF_rank1_region6_iSSp-ll,6,iSSp-ll,360
beta,-0.010278954580008765,1.0014564691737757,0.01890311279676265,2810.899651643231,2265.429332379356,0.9998241266092851,40.540262657829,copath_syn_mapt_REGION-RF_rank1_region6_iSSp-ll,6,iSSp-ll,360
gamma,0.07907962307623455,0.060192725969855414,0.0011318722395306491,1886.395730437298,1220.9240617847008,1.0012629698753035,27.206584320371785,copath_syn_mapt_REGION-RF_rank1_region6_iSSp-ll,6,iSSp-ll,360
sigma,1.740932430780272,2.3566306678869267,0.04846675324090241,2800.0433389208606,2269.4187911927525,1.0001015237708513,40.383687246464476,copath_syn_mapt_REGION-RF_rank1_region6_iSSp-ll,6,iSSp-ll,360
u0,0.008010506575530388,0.006083953721704887,0.00011957901218478958,1333.1038403118032,607.671705732188,1.0010593738254847,19.22671974604539,copath_syn_mapt_REGION-RF_rank1_region6_iSSp-ll,6,iSSp-ll,360
alpha,0.3799669173557085,0.41646942313927326,0.03741372012826411,176.3914163775548,128.61978242542034,1.0164128103276904,1.2748360583501113,copath_syn_mapt_REGION-RF_rank210_region7_iSSp-m,7,iSSp-m,210
beta,0.2320084479639087,0.49859460578967535,0.018930735676034975,495.7795006037664,609.1242281917724,1.0226882410095595,3.58315385941261,copath_syn_mapt_REGION-RF_rank210_region7_iSSp-m,7,iSSp-m,210
gamma,0.08647429836437198,0.06176939306899013,0.00398508685862332,243.43660664274594,204.86676148954868,1.0219344379739088,1.7593926645857734,copath_syn_mapt_REGION-RF_rank210_region7_iSSp-m,7,iSSp-m,210
sigma,0.018717275659683574,0.0035589966414121643,0.00017545245571360939,458.2331933152486,287.36070583818315,1.0057165134336754,3.311794927258887,copath_syn_mapt_REGION-RF_rank210_region7_iSSp-m,7,iSSp-m,210
u0,0.013862304284627239,0.005238864744234782,0.0004474281085340474,121.72326774857088,207.73428021436837,1.0336549909611095,0.8797322117644103,copath_syn_mapt_REGION-RF_rank210_region7_iSSp-m,7,iSSp-m,210
alpha,0.6442222972743143,0.5737517621787429,0.015280243495559193,957.9060723944566,909.1749937264287,1.0022797000415498,10.63997236884178,copath_syn_mapt_REGION-RF_rank229_region8_iSSp-ul,8,iSSp-ul,229
beta,-0.46010819380682577,0.7348012552567454,0.023303207298964644,1016.719967047901,1384.015745583148,1.0052374698786612,11.293249586776495,copath_syn_mapt_REGION-RF_rank229_region8_iSSp-ul,8,iSSp-ul,229
gamma,0.07864406477112197,0.059207469137303334,0.0017043295040711547,710.8203721094377,497.89975616268464,1.0130955876408823,7.89546004186915,copath_syn_mapt_REGION-RF_rank229_region8_iSSp-ul,8,iSSp-ul,229
sigma,0.027238171268996175,0.005101077389266535,0.0001461169487381216,1376.1201006484778,1432.0621938647355,1.0106562203437979,15.285298077824677,copath_syn_mapt_REGION-RF_rank229_region8_iSSp-ul,8,iSSp-ul,229
u0,0.007055958125028886,0.005200595899264498,0.00013107376994880382,1017.0646068936192,807.0181701430241,1.0035863981946789,11.297077684897301,copath_syn_mapt_REGION-RF_rank229_region8_iSSp-ul,8,iSSp-ul,229
alpha,0.5439936369978904,0.5185305233712865,0.013962779612114446,1140.1445977216056,1523.7177319069792,1.0032801496747066,11.802128230646504,copath_syn_mapt_REGION-RF_rank265_region9_iSSp-tr,9,iSSp-tr,265
beta,-0.27873520028758764,0.6848695545658009,0.021367535387186137,1093.4221845590364,1151.6248214047318,1.0044656781174148,11.318484390653033,copath_syn_mapt_REGION-RF_rank265_region9_iSSp-tr,9,iSSp-tr,265
gamma,0.07707089743863696,0.05870797426352452,0.0017843896012092117,635.8162514389975,565.7212280639689,1.0119433595291603,6.581608109714792,copath_syn_mapt_REGION-RF_rank265_region9_iSSp-tr,9,iSSp-tr,265
sigma,0.030328754645438917,0.005603367866672765,0.00015392533548536625,1349.0878967372632,1470.4575327466373,1.002702107452983,13.96499039115225,copath_syn_mapt_REGION-RF_rank265_region9_iSSp-tr,9,iSSp-tr,265
u0,0.009180170641737007,0.0059299403715332225,0.00016580396529090413,793.7301816168799,403.4511223519933,1.0077061863338412,8.216243275367527,copath_syn_mapt_REGION-RF_rank265_region9_iSSp-tr,9,iSSp-tr,265
alpha,0.7413156507720468,0.5835553372886118,0.01242777739889075,1489.1656457972085,1280.2835311010222,1.0019860923886696,19.51263982018932,copath_syn_mapt_REGION-RF_rank306_region10_iSSp-un,10,iSSp-un,306
beta,-0.30355953375263306,0.8997475268967656,0.021666903182375342,1732.69342869046,1915.8558644903956,1.00164450978668,22.703601099222464,copath_syn_mapt_REGION-RF_rank306_region10_iSSp-un,10,iSSp-un,306
gamma,0.07912540049202794,0.060745288933377516,0.0011836982718935924,1898.1649349224783,1416.4018020174933,1.0017684003934044,24.871785619676594,copath_syn_mapt_REGION-RF_rank306_region10_iSSp-un,10,iSSp-un,306
sigma,0.09222038470486164,0.1128698637883408,0.002255391732429106,2381.0229515242436,2469.433067260171,1.0009941788908545,31.198707402241197,copath_syn_mapt_REGION-RF_rank306_region10_iSSp-un,10,iSSp-un,306
u0,0.007040332463403685,0.005721570438559006,0.00011315707239401476,1706.789037803462,1148.0410988443264,1.00089974675744,22.364174084796012,copath_syn_mapt_REGION-RF_rank306_region10_iSSp-un,10,iSSp-un,306
alpha,0.5402407046144905,0.5148432412162377,0.03356190795717732,288.2694679373363,270.3344891375487,1.0080132710274143,,copath_syn_mapt_REGION-RF_rank153_region11_iSSs,11,iSSs,153
beta,0.37999099362873767,0.5699158767076056,0.02554244552038557,497.62149043802395,444.92560673707203,1.0083528791655947,,copath_syn_mapt_REGION-RF_rank153_region11_iSSs,11,iSSs,153
gamma,0.07556439950279169,0.06004290228994457,0.0027830914496831814,338.5854927344258,355.41914600489696,1.0116685688258318,,copath_syn_mapt_REGION-RF_rank153_region11_iSSs,11,iSSs,153
u0,0.012385190745147899,0.006903169352925293,0.00040072484986686225,237.6372076537947,159.28280746472765,1.0103392577845274,,copath_syn_mapt_REGION-RF_rank153_region11_iSSs,11,iSSs,153
sigma,0.05632838781279121,0.010426039631186707,0.0006035177878658167,313.45906047556724,564.9143459934655,1.0018434448357714,,copath_syn_mapt_REGION-RF_rank153_region11_iSSs,11,iSSs,153
alpha,0.67879822420754,0.544436876003504,0.030396665827492765,430.3777764754554,138.06454845114237,1.008854758148829,4.422613386448423,copath_syn_mapt_REGION-RF_rank283_region12_iGU,12,iGU,283
beta,-0.548304512286524,0.5775565435335402,0.019265153870677485,937.5033328556218,1085.8639058149902,1.0039546915449324,9.633896117226083,copath_syn_mapt_REGION-RF_rank283_region12_iGU,12,iGU,283
gamma,0.0828141933221143,0.06135512726743098,0.001774585612975284,919.0661383075723,854.7476932239936,1.0038850945948132,9.444433306008161,copath_syn_mapt_REGION-RF_rank283_region12_iGU,12,iGU,283
sigma,0.011997628529354374,0.0023138261379349995,8.693136653347044e-5,486.6461818793133,123.65317409183987,1.0102753594042126,5.0008342346789565,copath_syn_mapt_REGION-RF_rank283_region12_iGU,12,iGU,283
u0,0.010488595005009373,0.006786241392504086,0.00034116181327913575,424.4801686258583,614.5533349723775,1.014077864574523,4.362008864446254,copath_syn_mapt_REGION-RF_rank283_region12_iGU,12,iGU,283
alpha,0.5882845378793022,0.4890708354967177,0.021371120580153606,495.5193136058481,674.8383116795738,1.0051617128414587,4.483526181739487,copath_syn_mapt_REGION-RF_rank121_region13_iVISC,13,iVISC,121
beta,0.12883335184360323,0.7997314803911647,0.033704396428802554,559.3311447565513,722.0252734366499,1.008464141485382,5.060904313758155,copath_syn_mapt_REGION-RF_rank121_region13_iVISC,13,iVISC,121
gamma,0.07859807965719727,0.061067035088774424,0.0023868550393469756,467.71572765976043,298.8252632253001,1.003845515783907,4.231955552477022,copath_syn_mapt_REGION-RF_rank121_region13_iVISC,13,iVISC,121
sigma,0.0809772746745024,0.01672475839516734,0.0008392143900734279,366.0937750386387,386.474057148904,1.0018395208499495,3.3124662960426954,copath_syn_mapt_REGION-RF_rank121_region13_iVISC,13,iVISC,121
u0,0.009027291399961276,0.006114420189811306,0.00023753650687647444,567.10556448577,521.8783715581898,1.007923930311219,5.131248321442001,copath_syn_mapt_REGION-RF_rank121_region13_iVISC,13,iVISC,121
alpha,0.4435723704614666,0.4413943214187966,0.02199966769556785,431.7054645423872,589.4206847191805,1.012356602677023,3.056148781254068,copath_syn_mapt_REGION-RF_rank152_region14_iAUDd,14,iAUDd,152
beta,0.296023015717425,0.5983398878878505,0.02436212488252332,599.2939994493472,820.5365933592105,1.0080770034974567,4.242549090666349,copath_syn_mapt_REGION-RF_rank152_region14_iAUDd,14,iAUDd,152
gamma,0.08254260896588898,0.06128753459149351,0.002012000502404099,710.957980152496,607.0318201834838,1.0029482950061763,5.0330457754781746,copath_syn_mapt_REGION-RF_rank152_region14_iAUDd,14,iAUDd,152
sigma,0.041777558380255125,0.007631583468999738,0.0003090635541791053,587.6053995515521,559.6969767988303,1.0053517876957698,4.159802627472795,copath_syn_mapt_REGION-RF_rank152_region14_iAUDd,14,iAUDd,152
u0,0.012402167496359423,0.00616280035033635,0.00030520408756657855,314.46608465740485,444.2445223680725,1.0214578424105079,2.2261824792748364,copath_syn_mapt_REGION-RF_rank152_region14_iAUDd,14,iAUDd,152
alpha,0.44521025531142355,0.38517873319745977,0.023163165600647965,262.0480166032542,495.97327967016736,1.020182333271312,1.5943830600659188,copath_syn_mapt_REGION-RF_rank181_region15_iAUDp,15,iAUDp,181
beta,0.408547895658501,0.5199859587582848,0.019638067673776242,533.763632748879,918.3109972387847,1.0127196596876984,3.247586855131689,copath_syn_mapt_REGION-RF_rank181_region15_iAUDp,15,iAUDp,181
gamma,0.08161857708220303,0.05960548842420827,0.00335052502850551,254.01348796107547,262.7220871632641,1.0185924809319653,1.545498445220316,copath_syn_mapt_REGION-RF_rank181_region15_iAUDp,15,iAUDp,181
sigma,0.03306235339175726,0.005626029608471826,0.00023910765304103828,584.4907811357007,669.4794922260804,1.0111096677632976,3.556226878902028,copath_syn_mapt_REGION-RF_rank181_region15_iAUDp,15,iAUDp,181
