parameter,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,run_id,region_index,region,rank
alpha,0.6478324790141046,0.5480442568326245,0.012822208060647102,1283.5341397473742,1215.0710620508871,1.0036425880579312,15.144588207326956,copath_tau_app_REGION-RF_rank363_region1_iFRP,1,iFRP,363
beta,-0.2738205972336331,0.8303940245294547,0.024398593944340054,1125.1023653772947,1707.6400621312582,1.0049974201893654,13.27523085446119,copath_tau_app_REGION-RF_rank363_region1_iFRP,1,iFRP,363
gamma,0.07940561582011951,0.05823787752210811,0.0016307912207878575,674.6467398684259,171.62751855685872,1.0012981027493078,7.960245656367118,copath_tau_app_REGION-RF_rank363_region1_iFRP,1,iFRP,363
sigma,0.07491323528027896,0.027020591397212832,0.0008231430145215902,869.8307498782195,225.75389952667084,1.001900457387763,10.263247473548939,copath_tau_app_REGION-RF_rank363_region1_iFRP,1,iFRP,363
u0,0.00812779848956585,0.006112841492017,0.00014069409231252808,1233.2727655965843,875.1556987248244,1.0023899334539117,14.551547640133382,copath_tau_app_REGION-RF_rank363_region1_iFRP,1,iFRP,363
alpha,2.7693706319923423,0.7909416652361934,0.024052984879970797,1029.104601298884,943.7604120131948,1.0053335498430365,7.371017450122723,copath_tau_app_REGION-RF_rank318_region2_iMOp,2,iMOp,318
beta,0.3009577797218325,0.048816125499667726,0.0017359410278399577,880.7899372368512,949.933906490205,1.0038337808114821,6.308705635045311,copath_tau_app_REGION-RF_rank318_region2_iMOp,2,iMOp,318
gamma,0.06925600061541737,0.04492296269132337,0.0015302063846024895,879.8289097912673,1071.0153724459342,1.0040932162540213,6.30182222391052,copath_tau_app_REGION-RF_rank318_region2_iMOp,2,iMOp,318
sigma,0.04217098121981073,0.010195786530072698,0.00026937240942283253,1463.3344238621794,1971.073677185318,1.0022690903398133,10.481212075079178,copath_tau_app_REGION-RF_rank318_region2_iMOp,2,iMOp,318
u0,0.025419087379220166,0.007085704624773432,0.00015649092973405563,1993.59067597142,1843.5358061152551,1.0016887601218736,14.279201203104394,copath_tau_app_REGION-RF_rank318_region2_iMOp,2,iMOp,318
alpha,2.090548700359753,0.6507470284882814,0.020634334912456007,912.0586402347466,1002.2007694762138,1.0022326212594506,7.004466905520628,copath_tau_app_REGION-RF_rank289_region3_iMOs,3,iMOs,289
beta,0.3599439616313609,0.06672743953602435,0.0023934093746450814,897.4843291306707,957.7909608171544,1.0037019083885406,6.892538488535306,copath_tau_app_REGION-RF_rank289_region3_iMOs,3,iMOs,289
gamma,0.08597497475513527,0.055305761373659855,0.0018004740742947171,964.2255381505217,1115.087774640336,1.0037278617475667,7.405100476538247,copath_tau_app_REGION-RF_rank289_region3_iMOs,3,iMOs,289
sigma,0.059947384443699306,0.012555650212146946,0.0003256590146443495,1504.1723619518843,1943.4970503470997,1.000702244818129,11.551807158779859,copath_tau_app_REGION-RF_rank289_region3_iMOs,3,iMOs,289
