parameter,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,run_id,region_index,region,rank
alpha,0.6825455700377829,0.5755449757279752,0.015305348016253998,978.9451015871697,750.5398682841537,1.0046696061753642,11.127537386611762,copath_tau_mapt_REGION-RF_rank326_region1_iFRP,1,iFRP,326
beta,-0.18298839080704535,0.8234305587532972,0.026779273871546987,922.0849008343055,1176.9924895709585,1.0004890947658236,10.48121512741467,copath_tau_mapt_REGION-RF_rank326_region1_iFRP,1,iFRP,326
gamma,0.08292817513373103,0.0583708172060654,0.001476109495674881,1123.1138897807723,810.7385521866072,1.0030565848524546,12.766284623822363,copath_tau_mapt_REGION-RF_rank326_region1_iFRP,1,iFRP,326
sigma,0.11383933756914338,0.06232446346813328,0.002016029562032509,781.5082224473932,797.3955971103726,1.003177758917927,8.883298919549796,copath_tau_mapt_REGION-RF_rank326_region1_iFRP,1,iFRP,326
u0,0.008176121825022725,0.006000985342988305,0.0001716632080017497,892.1586584006826,698.9550665648283,1.003301856825227,10.141047552153255,copath_tau_mapt_REGION-RF_rank326_region1_iFRP,1,iFRP,326
alpha,1.6775832178502155,0.7708783773043384,0.024377314712563602,NaN,NaN,NaN,NaN,copath_tau_mapt_REGION-RF_rank319_region2_iMOp,2,iMOp,319
beta,0.2644818495184607,0.21679288902688126,0.006855593098530692,NaN,NaN,NaN,NaN,copath_tau_mapt_REGION-RF_rank319_region2_iMOp,2,iMOp,319
gamma,0.06632709680431759,0.06944980213288714,0.0021961955778794324,NaN,NaN,NaN,NaN,copath_tau_mapt_REGION-RF_rank319_region2_iMOp,2,iMOp,319
u0,0.023313096523728483,0.007728731339207925,0.0002444039445542046,NaN,NaN,NaN,NaN,copath_tau_mapt_REGION-RF_rank319_region2_iMOp,2,iMOp,319
sigma,0.04746650906519389,0.014368704436172003,0.00045437833044069013,NaN,NaN,NaN,NaN,copath_tau_mapt_REGION-RF_rank319_region2_iMOp,2,iMOp,319
alpha,1.2333021718808328,0.7833394640808203,0.07418524708413904,119.33576204808543,349.6154875226275,1.0401662027707361,0.5926870628719842,copath_tau_mapt_REGION-RF_rank324_region3_iMOs,3,iMOs,324
beta,0.42408713110632057,0.37024550301572134,0.02313163406508983,241.01943849150882,365.6232266997255,1.0284853516455739,1.1970351606505625,copath_tau_mapt_REGION-RF_rank324_region3_iMOs,3,iMOs,324
gamma,0.09943099032444391,0.07227547597374728,0.005550092683257276,94.45146759342474,75.29728028987444,1.049307474798478,0.4690979631850722,copath_tau_mapt_REGION-RF_rank324_region3_iMOs,3,iMOs,324
sigma,0.055965160396617926,0.013342986340277632,0.0009043560159800243,138.9856987961634,50.09805693059711,1.02597048989974,0.6902794618055565,copath_tau_mapt_REGION-RF_rank324_region3_iMOs,3,iMOs,324
u0,0.017774825572046016,0.007739275448685876,0.0010107525519974774,55.23839666701685,22.551758364210126,1.0836573662913511,0.27434427464534783,copath_tau_mapt_REGION-RF_rank324_region3_iMOs,3,iMOs,324
alpha,0.7184498486765851,0.5801767901261455,0.012670447487512795,1382.4244334610103,1000.5875593285006,1.0035436408891396,16.291416440334334,copath_tau_mapt_REGION-RF_rank329_region4_iSSp-n,4,iSSp-n,329
beta,-0.18386408894709574,0.9111810711367471,0.02147707529660119,1798.7500670123331,1584.8258912473675,1.0020128399593309,21.197676852695547,copath_tau_mapt_REGION-RF_rank329_region4_iSSp-n,4,iSSp-n,329
gamma,0.08074191249919555,0.06056994321727467,0.0015020473610552567,957.0545552782271,597.260991395353,1.0056323044308821,11.27857258506443,copath_tau_mapt_REGION-RF_rank329_region4_iSSp-n,4,iSSp-n,329
sigma,0.4108741196026944,0.4068585257503898,0.011002933306524106,1732.3807611041498,1676.7078615265823,1.006690496843979,20.41553645121323,copath_tau_mapt_REGION-RF_rank329_region4_iSSp-n,4,iSSp-n,329
u0,0.007930060692030696,0.006042989643011535,0.0001260932573981882,1325.3612218330359,939.1899870438442,1.0045066448562776,15.61894529359192,copath_tau_mapt_REGION-RF_rank329_region4_iSSp-n,4,iSSp-n,329
alpha,0.8400139287209583,0.5906938135397353,0.025147427074162537,517.4410498178937,688.0438952719571,1.0042998599682131,2.1855825919861025,copath_tau_mapt_REGION-RF_rank293_region5_iSSp-bfd,5,iSSp-bfd,293
beta,0.5766655176500491,0.42651539272305156,0.01917001361698468,531.962492854707,691.4833734275402,1.0079158780124091,2.2469186864512527,copath_tau_mapt_REGION-RF_rank293_region5_iSSp-bfd,5,iSSp-bfd,293
gamma,0.08565756292517578,0.06275655902177915,0.002103067827006242,540.9950015120085,577.5064254446405,1.0152537814365137,2.2850704598567635,copath_tau_mapt_REGION-RF_rank293_region5_iSSp-bfd,5,iSSp-bfd,293
sigma,0.0584251998039382,0.013096589688670446,0.0003504355164924294,1368.9032312337304,1655.5144987210451,1.0023453698947788,5.782013377854169,copath_tau_mapt_REGION-RF_rank293_region5_iSSp-bfd,5,iSSp-bfd,293
u0,0.016470705908351497,0.006931556489761072,0.00020191222616851661,1020.9847313084559,456.5354648061155,1.006027445431866,4.312465074459586,copath_tau_mapt_REGION-RF_rank293_region5_iSSp-bfd,5,iSSp-bfd,293
alpha,0.7060677363165084,0.563461469632458,0.025881632492095397,493.834678873774,745.1519875178609,1.0125025843778541,4.3541120357771605,copath_tau_mapt_REGION-RF_rank169_region6_iSSp-ll,6,iSSp-ll,169
