node,region_base,total_cells_est,count_Chol,count_Dopa,count_GABA,count_GABA-Glyc,count_Glut,count_Glut-GABA,count_Hist,count_Nora,count_Sero,count_Unknown,frac_Chol,frac_Dopa,frac_GABA,frac_GABA-Glyc,frac_Glut,frac_Glut-GABA,frac_Hist,frac_Nora,frac_Sero,frac_Unknown,frac_row_sum,share_Chol,share_Dopa,share_GABA,share_GABA-Glyc,share_Glut,share_Glut-GABA,share_Hist,share_Nora,share_Sero,share_Unknown
iFRP,FRP,981.7499999999999,0.0,0.0,283.76,0.0,697.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28903488668194555,0.0,0.7109651133180546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005329381347398171,0.0,0.0004646432879045481,0.0,0.0,0.0,0.0,0.0
iMOp,MOp,114589.44000000002,0.0,0.0,15429.670000000004,0.0,78717.34999999999,95.0,0.0,0.0,0.0,20347.42,0.0,0.0,0.13465176197736894,0.0,0.6869511710677701,0.000829046725422517,0.0,0.0,0.0,0.1775680202294382,0.9999999999999998,0.0,0.0,0.028978924265051158,0.0,0.05240116379766627,0.02098028736368334,0.0,0.0,0.0,0.053486062984709905
iMOs,MOs,125497.09,0.0,0.0,18442.700000000004,0.0,86227.85,133.0,0.0,0.0,0.0,20693.54,0.0,0.0,0.1469571923938635,0.0,0.6870904337303758,0.0010597855296883777,0.0,0.0,0.0,0.16489258834607243,1.0,0.0,0.0,0.03463778593729218,0.0,0.05740081051725697,0.02937240230915668,0.0,0.0,0.0,0.054395888216619795
iSSp-n,SSp-n,19045.06,0.0,0.0,2306.7000000000003,0.0,15414.029999999999,0.0,0.0,0.0,0.0,1324.33,0.0,0.0,0.12111802220628343,0.0,0.8093453105424713,0.0,0.0,0.0,0.0,0.0695366672512452,0.9999999999999999,0.0,0.0,0.004332282194122979,0.0,0.010260928636598434,0.0,0.0,0.0,0.0,0.0034811881699272377
iSSp-bfd,SSp-bfd,57948.96,0.0,0.0,7908.8,0.0,44606.28,38.0,0.0,0.0,0.0,5395.880000000001,0.0,0.0,0.13647872196498437,0.0,0.7697511741366886,0.0006557494733296336,0.0,0.0,0.0,0.09311435442499746,1.0,0.0,0.0,0.014853753594693637,0.0,0.029693847476884895,0.008392114945473336,0.0,0.0,0.0,0.014183831539228883
iSSp-ll,SSp-ll,18222.059999999998,0.0,0.0,2465.3199999999997,0.0,15756.739999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13529315565858085,0.0,0.8647068443414191,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004630191155683556,0.0,0.010489066433984883,0.0,0.0,0.0,0.0,0.0
iSSp-m,SSp-m,57151.170000000006,0.0,0.0,7385.84,0.0,41944.94,19.0,0.0,0.0,0.0,7801.39,0.0,0.0,0.12923339977116827,0.0,0.7339296815795722,0.00033245163659816583,0.0,0.0,0.0,0.13650446701266133,1.0,0.0,0.0,0.013871566792665392,0.0,0.027922226439575062,0.004196057472736668,0.0,0.0,0.0,0.020507053813617945
iSSp-ul,SSp-ul,31655.939999999995,0.0,0.0,4396.48,0.0,24582.93,38.0,0.0,0.0,0.0,2638.5300000000007,0.0,0.0,0.13888325540167185,0.0,0.7765661041813955,0.0012004066219483613,0.0,0.0,0.0,0.08335023379498448,1.0,0.0,0.0,0.008257160454683223,0.0,0.016364551671982912,0.008392114945473336,0.0,0.0,0.0,0.006935748206261368
iSSp-tr,SSp-tr,11396.08,0.0,0.0,1114.48,0.0,10271.940000000002,0.0,0.0,0.0,0.0,9.66,0.0,0.0,0.09779503127391173,0.0,0.9013573088290011,0.0,0.0,0.0,0.0,0.0008476598970874196,1.0000000000000002,0.0,0.0,0.0020931381886271196,0.0,0.006837903085657739,0.0,0.0,0.0,0.0,2.5392672310902205e-05
iSSp-un,SSp-un,3714.4600000000005,0.0,0.0,990.36,0.0,2724.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26662287384976546,0.0,0.7333771261502343,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0018600247079254488,0.0,0.0018133995910840836,0.0,0.0,0.0,0.0,0.0
iSSs,SSs,78814.33,0.0,0.0,12171.09,0.0,56529.060000000005,38.0,0.0,0.0,0.0,10076.180000000002,0.0,0.0,0.15442737380372326,0.0,0.7172434251487008,0.00048214582297407085,0.0,0.0,0.0,0.12784705522460194,1.0,0.0,0.0,0.02285888780078391,0.0,0.03763069428008063,0.008392114945473336,0.0,0.0,0.0,0.026486660133091783
iGU,GU,9896.310000000005,0.0,0.0,1551.1799999999998,0.0,8322.050000000001,0.0,0.0,0.0,0.0,23.08,0.0,0.0,0.15674327097675791,0.0,0.8409245466239433,0.0,0.0,0.0,0.0,0.002332182399298323,0.9999999999999996,0.0,0.0,0.002913317507209295,0.0,0.005539885491348078,0.0,0.0,0.0,0.0,6.066903487946406e-05
iVISC,VISC,11420.800000000003,0.0,0.0,2151.83,0.0,9242.130000000001,0.0,0.0,0.0,0.0,26.84,0.0,0.0,0.1884132460072849,0.0,0.8092366559260296,0.0,0.0,0.0,0.0,0.0023500980666853453,0.9999999999999998,0.0,0.0,0.0040414162196122805,0.0,0.006152371338330438,0.0,0.0,0.0,0.0,7.055272513712373e-05
iAUDd,AUDd,5784.240000000001,0.0,0.0,704.88,0.0,5069.7,0.0,0.0,0.0,0.0,9.66,0.0,0.0,0.12186216339570971,0.0,0.8764677814198579,0.0,0.0,0.0,0.0,0.001670055184432181,0.9999999999999998,0.0,0.0,0.0013238561897920861,0.0,0.0033748364255787155,0.0,0.0,0.0,0.0,2.5392672310902205e-05
